GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
22629412, ,0,0, , ,3,32702,2014-09-17,, ,WATER,Unplanned,2773617,1m,2014,2014
22823983, ,0,0, , ,4,33243,2014-12-14,65, ,WATER,Unplanned,13514750,1m,2014,2014
23481673, ,0,0, , ,3,35083,2015-07-09,, ,WATER,Unplanned,10079790,1m,2015,2015
23558800, ,0,0, , ,3,35506,2015-08-19,105, ,WATER,Unplanned,10091963,1m,2015,2015
23998413, ,0,0, , ,4,36503,2015-11-13,, ,WATER,Unplanned,13501892,1m,2015,2015
21803139, ,0,0, , ,4,30543,2013-09-29,30, ,WATER,Unplanned,13540905,1m,2013,2013
22060973, ,0,0, , ,4,31000,2013-12-30,84, ,WATER,Unplanned,11124378,1m,2013,2013
22580617, ,0,0, , ,4,32366,2014-07-08,120, ,WATER,Unplanned,10091071,1m,2014,2014
23568546, ,0,0, , ,4,35602,2015-09-01,, ,WATER,Unplanned,11499961,1m,2015,2015
23568547, ,0,0, , ,4,35603,2015-09-02,, ,WATER,Unplanned,352803,1m,2015,2015
22724280, ,0,0, , ,4,32842,2014-10-08,, ,WATER,Unplanned,21755797,1m,2014,2014
22724300, ,0,0, , ,4,32843,2014-10-13,, ,WATER,Unplanned,10097071,1m,2014,2014
22724329, ,0,0, , ,4,32844,2013-10-13,, ,WATER,Unplanned,10096966,1m,2013,2013
22724445, ,0,0, , ,3,32846,2014-10-12,79, ,WATER,Unplanned,10096963,1m,2014,2014
23481620, ,0,0, , ,4,35071,2015-07-09,51, ,WATER,Unplanned,337173,1m,2015,2015
23481882, ,0,0, , ,3,35142,2015-07-20,, ,WATER,Unplanned,11095766,1m,2015,2015
23568545, ,0,0, , ,3,35601,2015-09-01,, ,WATER,Unplanned,2825456,1m,2015,2015
23568567, ,0,0, , ,4,35604,2015-09-03,, ,WATER,Unplanned,335305,1m,2015,2015
23568568, ,0,0, , ,4,35605,2015-09-01,85, ,WATER,Unplanned,11547028,1m,2015,2015
23650323, ,0,0, , ,4,35803,2015-09-11,40, ,WATER,Unplanned,23650447,1m,2015,2015
23998412, ,0,0, , ,4,36502,2015-11-12,, ,WATER,Unplanned,11093652,1m,2015,2015
24000647, ,0,0, , ,4,36661,2015-11-25,, ,WATER,Unplanned,335155,1m,2015,2015
24150146, ,0,0, , ,4,36970,2015-12-22,, ,WATER,Unplanned,21196096,1m,2015,2015
21615999, ,0,0, , ,4,30220,2013-07-28,20, ,WATER,Unplanned,10077292,2m,2013,2013
21662098, ,0,0, , ,4,30250,2013-08-01,, ,WATER,Unplanned,13637696,1m,2013,2013
21662115, ,0,0, , ,4,30251,2013-08-05,, ,WATER,Unplanned,13677361,1m,2013,2013
21707981, ,0,0, , ,4,30340,2013-08-29,, ,WATER,Unplanned,13484738,1m,2013,2013
21707982, ,0,0, , ,4,30341,2013-08-30,, ,WATER,Unplanned,356164,1m,2013,2013
21967701, ,0,0, , ,4,30781,2013-10-08,, ,WATER,Unplanned,2762547,1m,2013,2013
22582724, ,0,0, , ,4,32644,2014-09-10,, ,WATER,Unplanned,334986,1m,2014,2014
22676578, ,0,0, , ,4,32767,2014-09-29,, ,WATER,Unplanned,13655115,1m,2014,2014
22776525, ,0,0, , ,4,33164,2014-11-29,, ,WATER,Unplanned,10022263,1m,2014,2014
23482109, ,0,0, , ,3,35168,2015-07-15,660, ,WATER,Unplanned,358761,1m,2015,2015
23558797, ,0,0, , ,3,35500,2015-08-06,109, ,WATER,Unplanned,2785702,1m,2015,2015
23558832, ,0,0, , ,4,35510,2015-08-21,, ,WATER,Unplanned,11365417,1m,2015,2015
22532466, ,0,0, , ,3,32205,2014-07-01,115, ,WATER,Unplanned,23476225,10m,2014,2014
22581756, ,0,0, , ,4,32564,2014-08-18,60, ,WATER,Unplanned,335508,1m,2014,2014
22581956, ,0,0, , ,3,32581,2014-08-25,90, ,WATER,Unplanned,22774258,1m,2014,2014
22824004, ,0,0, , ,4,33264,2014-12-18,30, ,WATER,Unplanned,11292494,1m,2014,2014
23648868, ,0,0, , ,4,35640,2015-09-02,, ,WATER,Unplanned,11502142,1m,2015,2015
23946287, ,0,0, , ,4,36422,2015-10-27,, ,WATER,Unplanned,11364592,1m,2015,2015
21708095, ,0,0, , ,4,30342,2013-08-31,, ,WATER,Unplanned,20452393,1m,2013,2013
21803141, ,0,0, , ,4,30545,2013-09-23,, ,WATER,Unplanned,11146841,1m,2013,2013
21968662, ,0,0, , ,4,30860,2013-11-11,65, ,WATER,Unplanned,22170411,1m,2013,2013
22580843, ,0,0, , ,4,32403,2014-07-21,, ,WATER,Unplanned,11499561,1m,2014,2014
22580844, ,0,0, , ,4,32404,2014-07-23,, ,WATER,Unplanned,2765937,1m,2014,2014
22582403, ,0,0, , ,4,32621,2014-09-08,20, ,WATER,Unplanned,377007,1m,2014,2014
22629231, ,0,0, , ,4,32684,2014-09-16,, ,WATER,Unplanned,11029570,1m,2014,2014
22776307, ,0,0, , ,4,33162,2014-11-25,, ,WATER,Unplanned,338523,1m,2014,2014
23482102, ,0,0, , ,4,35161,2015-07-22,, ,WATER,Unplanned,10169123,1m,2015,2015
23558829, ,0,0, , ,4,35507,2015-08-19,, ,WATER,Unplanned,10103486,1m,2015,2015
23748424, ,0,0, , ,4,36104,2015-10-01,, ,WATER,Unplanned,11065573,1m,2015,2015
23798596, ,0,0, , ,4,36249,2015-10-15,, ,WATER,Unplanned,2817599,1m,2015,2015
23798597, ,0,0, , ,4,36250,2015-10-16,, ,WATER,Unplanned,337436,1m,2015,2015
23946286, ,0,0, , ,4,36421,2015-10-27,, ,WATER,Unplanned,11216200,1m,2015,2015
24000646, ,0,0, , ,4,36660,2015-11-13,, ,WATER,Unplanned,11557310,1m,2015,2015
24149949, ,0,0, , ,3,36943,2015-12-20,, ,WATER,Unplanned,13483352,1m,2015,2015
24150149, ,0,0, , ,4,36973,2015-12-24,, ,WATER,Unplanned,10101545,1m,2015,2015
24150150, ,0,0, , ,4,36974,2015-12-24,80, ,WATER,Unplanned,11266707,1m,2015,2015
22581312, ,0,0, , ,4,32489,2014-08-09,, ,WATER,Unplanned,11572980,1m,2014,2014
22630244, ,0,0, , ,4,32748,2014-09-25,, ,WATER,Unplanned,20344080,1m,2014,2014
